,star,date,store,review,help
0,5,2022.09.06,쿠팡(주),"적당한 무선마우스 -홈플래닛 저소음 슬림 무선마우스 (고급 메탈 휠) 후기-  [슬림 디자인] 슬림한 디자인으로 가방에 넣어 휴대하기 편리합니다. 제품크기 60 x 114 x 27 mm  [54g 경량] 마우스 중량 (건전지 제외) 54g으로 휴대하기 좋습니다.  [저소음 클릭 스위치] 저소음 클릭 스위치를 사용하여, 회의실이나 도서관 등에서도 소음없이 사용이 가능하다고 합니다.  [고급스러운 메탈 휠] 고급스러운 메탈 휠로 부드럽고 정확한 스크롤 / 롤링이 가능하다고 합니다.  [3단계 DPI 조정] 사용자 환경에 따라 DPI를 조정하여 사용 800 / 1200 / 1600  [편리한 사용성] 수신 범위 최대 10M 2.4GHz 주파수로  최대 10M까지 연결된다고 합니다.  On/Off 스위치 미사용 시 전원 스위치로 배터리를 절약하기  수신기 몸체 보관 수신기의 몸체 보관으로 분실 위험이 낮습니다.  Plug & Play USB포트에 연결 후 바로 사용이 가능하다고 합니다.  밖에서 노트북을 사용할 때 사용합니다 확실히 마우스가 가볍고 매트한 느낌을 갖고 있습니다. 따라서 울퉁불퉁한 마우스를 원하시는 분은 불호일수도 있으실 것 같습니다. 그래도 뭐 밖에서 사용하기에는 좋습니다.  무선마우스 치고는 만족스럽게 사용하고 있습니다.  *동봉된 건전지는 정상 작동 확인용으로 빠른 시일 내에 새 건전지로 교체를 권장한다고 합니다.  홈플래닛 저소음 슬림 무선마우스 (고급 메탈 휠) ✅좋았던 점 가성비 좋은 무선마우스  ✅아쉬운 점 딱히 없습니다.  ✅1줄평 가성비 좋은 무선마우스 사용하고 싶으신 분들 추천합니다.  위 후기가 도움이 되신 분들은 아래에  '도움이 돼요'눌러주시면 감사하겠습니다! 오늘 하루도 행복한 하루 보내시길 바랍니다 :D",2
1,5,2022.09.19,쿠팡(주),"가성비 좋은 가벼운 무선마우스 블루투스마우스가 아닌 USB 연결하여 이용하는 무선마우스입니다. 외출해서 노트북 사용할 때 필요해서 제일 가볍고 저렴한 아이로 검색했는데 생각보다 괜찮아서 만족하고 있어요.   구입가격) 만원도 안되는 가격으로 화이트, 이런 컴팩트한 디자인의 무선 마우스는 쉽게 구할 수 없는데 그런 면에서는 정말 가성비가 좋은 것 같아요.    그립감&무게) 집에서 아이맥 사용하고 있는데 아이맥 애플 무선 마우스와 디자인이 유사하고, 슬림한 디자인이라 두껍고 무게감있는 마우스의 그립감 좋아하시는 분이라면 선호하지 않을 수 있습니다. 저는 워낙 가벼운 타입의 마우스를 찾던 것이라서 만족하고 있습니다. 근데 확실히 너무 얇아서 그런지 오래 사용하면 조금 무리가 가는 느낌도 있어요.    건전지) AA건전지가 함께 들어있고, 처음에는 그거 넣어서 사용하면 되니 건전지 별도 구매가 필요하지는 않아요. 제가 가끔 사용해서 그런지 한번 넣어놓고 계속 사용하고 있습니다.    클릭감) 마우스 클릭하는 부분이 깊게 눌리는 형태는 아니고, 딸칵 딸칵 아주 얕게 눌리는 형태인데 저는 이런걸 좋아하는데 싫어하시는 분도 계시더라구요. 참조하시면 좋을 것 같아서 올립니다.    감사합니다.",1
2,5,2022.08.18,쿠팡(주),노트북에 사용하려고 샀어요.  아이들 재워놓고 사용하다보니 마우스 클릭하는 소리가 좀 거슬렸거든요. 그래서 무소음으로 한번 사봤어요.  박스 개봉~~ 보통 플라스틱 틀안에 상품이 들어있잖아요. 홈플래닛 마우스는 종이에 싸져 있어요. 그러고보니 겉박스에 종이포장으로 플라스틱을 줄였습니다란  문구가..  재활용 쓰레기 안나와서 좋고 환경에도 덜 미안하고 종이포장 늠~ 맘에 드네요.  마우스와 AA건전지 한개가 들어있어요. 건전지 끼우려고 덮개 열었더니 안에 수신기 보관하는 곳도 있더라구요. 노트북에 계속 꽂아놓고 사용은 하겠지만 혹시라도 빼놓았을때 잃어버리기도 쉽지만 망가질위험도 있잖아요. 그럴때 마우스속에 안전하게 잘 보관할수 있겠어요.  노트북에 수신기 USB포트에 꽂았더니  별도의 설치없이 마우스를 설정하고 사용할 준비가 됐다고 바로 뜨더라구요.  근데 마우스 아무리 움직여봐도 커서가 움직이지 않네요.  컴알못이라 당황했지만 뭐든 껐다가 켜면 됐던 기억이..  그래서 노트북을 껐다가 켰더니  커서가 움직입니다.  저처럼 바로 안된다면 껐다가 다시 시작해보세요.  클릭소리 정말 조용해요. 도서관에서도 막 눌러도 될것 같아요.  다만 스크롤 소리는 좀 난답니다. 그래도 뭐 그리 거슬릴정도는 아니예요.  그리고 자동 꺼짐 기능이 있나봐요. 일정시간 사용을 안하면 자동으로 꺼지더라구요. 절약돼서 좋긴한데 좀 귀찮기도 해요. 노트북 사용할때마다 꺼져있는 상태라 껐다켜줘야해요. 그래도 켜자마자 바로 작동되니까 괜찮아요.  저렴해서 별로면 어쩌지 했는데 넘 좋네요. 가볍고 그립감도 좋아요. 정말 잘 산거 같아요.,7
3,5,2022.08.13,쿠팡(주),"디자인도 깔끔하고 가성비 너무 좋은 마우스네요 디자인도 깔끔하고 가성비 너무 좋은 마우스네요(*˘◡˘*)  ✔️구매동기 집에 빔프로젝터에 연결해서 사용하려고 구매했습니다! 작업용도 아니도 사무실에서도 사용하는 건 아니기 때문에 가성비가 제일 중요했어요! 찾아보니 디자인도 깔끔하고 제일 가성비가 좋은 것 같아 구매하게 되었습니다   ✔️배송 배송은 8월 11일에 주문해서 8월 12일에 도착했어요! (하루만에 배송)   ✔️제품구성 패키지 안에는 마우스와 건전지가 들어있어 따로 건전지를 구매할 필요는 없습니다  ✔️디자인 화이트 디자인이 깔끔해서 마음에 드네요! 유광 화이트가 색변질도 적을 것 같고 마우스 휠은 회색으로 되어있어 세련되어 보여요!   ✔️사용감 OS가 탑재된 미니빔에 사용할 거라 그렇게 큰 기대는 안했었는데 가성비가 너무 좋네요! 저소음이라 클릭할 때 소리도 작고 무게도 가벼워서 손목에 무리가 없습니다.  마우스 휠 움직임도 빨라서 화면이 큰데도 불편함이 없네요! 뒤에는 전원을 끄고 킬수 있는 스위치가 따로 있어서 배터리 절약도 되서 좋은 것 같아요  -----------------------------------------------------  제 주관적인 의견이 포함되어있으니 참고해주세요!   ■ 도움이 되셨다면 ⬇️아래 ⬇️ ""도움이 돼요"" 한 번 씩 클릭 부탁드립니다!   ■ 내.돈.내.산 임!!!  오늘도 즐거운 하루 보내세용~!!",8
4,5,2022.08.31,쿠팡(주),완전 무소음!!! 슬림해서 보관도 용이해요~♥ 기존에 쓰던 마우스가 고장나서 ㅠㅜ 노트북 키보드밑에 붙어있는 그 불편한 마우스 걍 쓰다가 넘 불편해서 급하게 하나샀어요.   홈플래닛에서 산 물건들은 대부분 무난하게 잘 쓰고 있어요. 가격이 싼거에 비해 내구성이 다들 좋았던 것 같아요.(*˘◡˘*)  마우스는 한손에 들어오는 크기구요. 높이가 되게 낮은 슬림한 모형이에요. 그래서 첨엔 심플하고 서랍안에 두기도 편해서 좋았는데 너무  슬림해서인지 음 살짝 불편감이 잇는것 같아요.  외 우리 피아노칠때 계란쥐듯이 치라구 하자나요. 그것처럼 마우스를 쥘때 손바닥안 공간이 떠서 그런지 그립감이 좋진 않네요. 그래도 뭐 그냥 저냥 쓸만했어요!   휠도 잘돌아가구요! 휠밑에 버튼이 뭐지 싶었는데 마우스커서 움직임을 조절하는 버튼이었어요~~ 빠르게 쓰는게 마우스를 크게 움직이지 않고 커서를 이동시킬 수 있어서 좋있어요.  손이 작으신분은 왠지 쓰기 어려우실닷 싶지만 그외는 다들 무난하게.잘 쓰리라 생각이 듭니다~~ 추천드릴게요!   도움이 되셨다면  '도움이 돼요' 꾹 ~~ 눌러주세요!!!❤,1
5,5,2022.09.06,쿠팡(주),"적당한 무선마우스 -홈플래닛 저소음 슬림 무선마우스 (고급 메탈 휠) 후기-  [슬림 디자인] 슬림한 디자인으로 가방에 넣어 휴대하기 편리합니다. 제품크기 60 x 114 x 27 mm  [54g 경량] 마우스 중량 (건전지 제외) 54g으로 휴대하기 좋습니다.  [저소음 클릭 스위치] 저소음 클릭 스위치를 사용하여, 회의실이나 도서관 등에서도 소음없이 사용이 가능하다고 합니다.  [고급스러운 메탈 휠] 고급스러운 메탈 휠로 부드럽고 정확한 스크롤 / 롤링이 가능하다고 합니다.  [3단계 DPI 조정] 사용자 환경에 따라 DPI를 조정하여 사용 800 / 1200 / 1600  [편리한 사용성] 수신 범위 최대 10M 2.4GHz 주파수로  최대 10M까지 연결된다고 합니다.  On/Off 스위치 미사용 시 전원 스위치로 배터리를 절약하기  수신기 몸체 보관 수신기의 몸체 보관으로 분실 위험이 낮습니다.  Plug & Play USB포트에 연결 후 바로 사용이 가능하다고 합니다.  밖에서 노트북을 사용할 때 사용합니다 확실히 마우스가 가볍고 매트한 느낌을 갖고 있습니다. 따라서 울퉁불퉁한 마우스를 원하시는 분은 불호일수도 있으실 것 같습니다. 그래도 뭐 밖에서 사용하기에는 좋습니다.  무선마우스 치고는 만족스럽게 사용하고 있습니다.  *동봉된 건전지는 정상 작동 확인용으로 빠른 시일 내에 새 건전지로 교체를 권장한다고 합니다.  홈플래닛 저소음 슬림 무선마우스 (고급 메탈 휠) ✅좋았던 점 가성비 좋은 무선마우스  ✅아쉬운 점 딱히 없습니다.  ✅1줄평 가성비 좋은 무선마우스 사용하고 싶으신 분들 추천합니다.  위 후기가 도움이 되신 분들은 아래에  '도움이 돼요'눌러주시면 감사하겠습니다! 오늘 하루도 행복한 하루 보내시길 바랍니다 :D",2
6,5,2022.09.19,쿠팡(주),"가성비 좋은 가벼운 무선마우스 블루투스마우스가 아닌 USB 연결하여 이용하는 무선마우스입니다. 외출해서 노트북 사용할 때 필요해서 제일 가볍고 저렴한 아이로 검색했는데 생각보다 괜찮아서 만족하고 있어요.   구입가격) 만원도 안되는 가격으로 화이트, 이런 컴팩트한 디자인의 무선 마우스는 쉽게 구할 수 없는데 그런 면에서는 정말 가성비가 좋은 것 같아요.    그립감&무게) 집에서 아이맥 사용하고 있는데 아이맥 애플 무선 마우스와 디자인이 유사하고, 슬림한 디자인이라 두껍고 무게감있는 마우스의 그립감 좋아하시는 분이라면 선호하지 않을 수 있습니다. 저는 워낙 가벼운 타입의 마우스를 찾던 것이라서 만족하고 있습니다. 근데 확실히 너무 얇아서 그런지 오래 사용하면 조금 무리가 가는 느낌도 있어요.    건전지) AA건전지가 함께 들어있고, 처음에는 그거 넣어서 사용하면 되니 건전지 별도 구매가 필요하지는 않아요. 제가 가끔 사용해서 그런지 한번 넣어놓고 계속 사용하고 있습니다.    클릭감) 마우스 클릭하는 부분이 깊게 눌리는 형태는 아니고, 딸칵 딸칵 아주 얕게 눌리는 형태인데 저는 이런걸 좋아하는데 싫어하시는 분도 계시더라구요. 참조하시면 좋을 것 같아서 올립니다.    감사합니다.",1
7,5,2022.08.18,쿠팡(주),노트북에 사용하려고 샀어요.  아이들 재워놓고 사용하다보니 마우스 클릭하는 소리가 좀 거슬렸거든요. 그래서 무소음으로 한번 사봤어요.  박스 개봉~~ 보통 플라스틱 틀안에 상품이 들어있잖아요. 홈플래닛 마우스는 종이에 싸져 있어요. 그러고보니 겉박스에 종이포장으로 플라스틱을 줄였습니다란  문구가..  재활용 쓰레기 안나와서 좋고 환경에도 덜 미안하고 종이포장 늠~ 맘에 드네요.  마우스와 AA건전지 한개가 들어있어요. 건전지 끼우려고 덮개 열었더니 안에 수신기 보관하는 곳도 있더라구요. 노트북에 계속 꽂아놓고 사용은 하겠지만 혹시라도 빼놓았을때 잃어버리기도 쉽지만 망가질위험도 있잖아요. 그럴때 마우스속에 안전하게 잘 보관할수 있겠어요.  노트북에 수신기 USB포트에 꽂았더니  별도의 설치없이 마우스를 설정하고 사용할 준비가 됐다고 바로 뜨더라구요.  근데 마우스 아무리 움직여봐도 커서가 움직이지 않네요.  컴알못이라 당황했지만 뭐든 껐다가 켜면 됐던 기억이..  그래서 노트북을 껐다가 켰더니  커서가 움직입니다.  저처럼 바로 안된다면 껐다가 다시 시작해보세요.  클릭소리 정말 조용해요. 도서관에서도 막 눌러도 될것 같아요.  다만 스크롤 소리는 좀 난답니다. 그래도 뭐 그리 거슬릴정도는 아니예요.  그리고 자동 꺼짐 기능이 있나봐요. 일정시간 사용을 안하면 자동으로 꺼지더라구요. 절약돼서 좋긴한데 좀 귀찮기도 해요. 노트북 사용할때마다 꺼져있는 상태라 껐다켜줘야해요. 그래도 켜자마자 바로 작동되니까 괜찮아요.  저렴해서 별로면 어쩌지 했는데 넘 좋네요. 가볍고 그립감도 좋아요. 정말 잘 산거 같아요.,7
8,5,2022.08.13,쿠팡(주),"디자인도 깔끔하고 가성비 너무 좋은 마우스네요 디자인도 깔끔하고 가성비 너무 좋은 마우스네요(*˘◡˘*)  ✔️구매동기 집에 빔프로젝터에 연결해서 사용하려고 구매했습니다! 작업용도 아니도 사무실에서도 사용하는 건 아니기 때문에 가성비가 제일 중요했어요! 찾아보니 디자인도 깔끔하고 제일 가성비가 좋은 것 같아 구매하게 되었습니다   ✔️배송 배송은 8월 11일에 주문해서 8월 12일에 도착했어요! (하루만에 배송)   ✔️제품구성 패키지 안에는 마우스와 건전지가 들어있어 따로 건전지를 구매할 필요는 없습니다  ✔️디자인 화이트 디자인이 깔끔해서 마음에 드네요! 유광 화이트가 색변질도 적을 것 같고 마우스 휠은 회색으로 되어있어 세련되어 보여요!   ✔️사용감 OS가 탑재된 미니빔에 사용할 거라 그렇게 큰 기대는 안했었는데 가성비가 너무 좋네요! 저소음이라 클릭할 때 소리도 작고 무게도 가벼워서 손목에 무리가 없습니다.  마우스 휠 움직임도 빨라서 화면이 큰데도 불편함이 없네요! 뒤에는 전원을 끄고 킬수 있는 스위치가 따로 있어서 배터리 절약도 되서 좋은 것 같아요  -----------------------------------------------------  제 주관적인 의견이 포함되어있으니 참고해주세요!   ■ 도움이 되셨다면 ⬇️아래 ⬇️ ""도움이 돼요"" 한 번 씩 클릭 부탁드립니다!   ■ 내.돈.내.산 임!!!  오늘도 즐거운 하루 보내세용~!!",8
